編號,老師姓名,全銜,系所,負責計畫,場域,執行時間,計畫議題,SDGs關聯議題,第一期,第二期,第三期,第四期
6,劉世南,所長,創意產業研究所,相伴2026：齡感生活微社群行動網計畫協同主持人3,,民國111,,,,V,,
7,宋立文,社會實踐組組長,人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人4,,民國111,,,,V,,
8,潘振宇,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人5,,民國111,,,,V,,
9,吳玉成,副教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人6,,民國111,,,,V,,
10,盧紀邦,博士後研究員,人文社會科學中心博士後研究員,相伴2026：齡感生活微社群行動網計畫協同主持人7,,民國111,,,,V,,
11,張珩,特聘教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人8,,民國111,,,,V,,
12,楊詩弘,助理教授,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人9,,民國111,,,,V,,
13,蔡寧,專案講師,建築系,相伴2026：齡感生活微社群行動網計畫協同主持人10,,民國111,,,,V,,
14,鄭淑惠,助理教授,心輔組,相伴2026：齡感生活微社群行動網計畫協同主持人11,,民國111,,,,V,,
15,徐欣萍,助理教授,心理系,相伴2026：齡感生活微社群行動網計畫協同主持人12,,民國111,,,,V,,
16,黃仲菁,助理教授,全校不分系,相伴2026：齡感生活微社群行動網計畫協同主持人13,,民國111,,,,V,,
17,陳麗君,教授/行政企劃組組長,台灣文學系/人文社會科學中心,相伴2026：齡感生活微社群行動網計畫協同主持人14,,民國111,,,,V,,
1,蔣鎮宇,特聘教授,生命科學系,以微生物科技導入台南市農業區的智慧新農業計畫主持人,"台南市、後壁區、璞育文教學會示範田
台南市、東山區、南方森林咖啡
台南市、東山區、東山窯鄉友善農作推廣工作室
台南市、東山區、番社蔬果聯盟
台南市、白河區、木成香菇
台南市、六甲區、水星農場
台南市、學甲區、瑞香農產
台南市、學甲區、福豐昕昕農場
台南市、麻豆區、曾文農工
台南市、麻豆區、曾文社區大學
台南市、安定區、饗樂纖農安定園區
台南市、將軍區、將軍區農會
台南市、佳里區、北門社區大學
台南市、佳里區、北門農工
台南市、歸仁區、釋迦園",民國111,在地關懷,消除貧窮、零飢餓、優質教育,,V,,
2,江友中,主任,生物科學系,以微生物科技導入台南市農業區的智慧新農業計畫協同主持人1,,民國111,,,,V,,
,,,,,,,,,,,,
1,張秀慈,副教授,都市計劃學系,惡地協作：淺山地區之區域創生與跨域實踐計畫主持人,"台南市、左鎮區、西南惡地
台南市、龍崎區、西南惡地
高雄市、田寮區、西南惡地
高雄市、內門區、西南惡地",民國111,產業鏈結與經濟永續,"合宜工作與經濟成長、
產業、創新和基礎設施、
負責任的消費及生產",,v,,
2,簡聖芬,副教授,建築學系,惡地協作：淺山地區之區域創生與跨域實踐計畫共同主持人1,,民國111,,,,v,,
3,黃偉茹,副教授,都市計劃學系職,惡地協作：淺山地區之區域創生與跨域實踐計畫共同主持人2,,民國111,,,,v,,
4,杜怡萱,教授,建築學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人1,,民國111,,,,v,,
5,陳文松,教授,歷史學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人2,,民國111,,,,v,,
6,楊佳翰,副教授,創意產業設計研究所,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人3,,民國111,,,,v,,
7,簡瑋麒,助理教授,工業設計學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人4,,民國111,,,,v,,
8,林蕙玟,副教授,創意產業設計研究所,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人5,,民國111,,,,v,,
9,張松彬,教授,生命科學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人6,,民國111,,,,v,,
10,李亞夫,教授,生命科學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人7,,民國111,,,,v,,
11,楊中平,副教授,資訊工程學系,惡地協作：淺山地區之區域創生與跨域實踐計畫協同主持人8,,民國111,,,,v,,
1,陳俊延,研究員,生物科技中心,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫主持人,,民國111,永續環境,零飢餓、負責任的消費及生產,,v,,
3,簡義明,副教授,台灣文學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人1,,民國111,,,,v,,
5,張嘉修,講座教授兼工學院院長,東海大學化學工程與材料工程學系(借調,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人2,,民國111,,,,v,,
7,陳維新,特聘教授,航空太空工程學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人1,,民國111,,,,v,,
9,黃良銘,特聘教授,環境工程學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人4,,民果111,,,,v,,
11,王秀雲,教授,醫學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人5,,民果111,,,,v,,
13,許宏彬,副教授,歷史學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人6,,民果111,,,,v,,
15,林淑惠,兼任助理教授,通識教育中心,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人7,,民果111,,,,v,,
17,王毓正,副教授,法律學系,農牧共好與農綠共生：以科技民主為行動核心的技術與價值創新計畫共同主持人8,,民果111,,,,v,,
1,董旭英,教授,教育研究所,相伴2026：互為主體、互利共好、底蘊再創計畫主持人,"臺南市、六甲區、林鳳社區
臺南市、官田區、渡拔里
臺南市、北區、長勝里
臺南市、中西區、溫陵社區
臺南市、安平區、國平社區
臺南市、安平區、台南市基督青年會社會福利慈善世界基金會(YMCA)",民國112-113,健康促進與食品安全,"良好健康與福祉、
合宜工作與經濟成長、
永續城市及社區",,,V,
2,林麗娟,教授,體育健康與休閒研究所,相伴2026：互為主體、互利共好、底蘊再創計畫共同主持人1,,,,,,,V,
3,劉立凡,教授,老年學研究所,相伴2026：互為主體、互利共好、底蘊再創計畫共同主持人2,,,,,,,V,
4,陳世明,副教授,建築系,相伴2026：互為主體、互利共好、底蘊再創計畫協同主持人1,,,,,,,V,
5,吳玉成,副教授,建築系,相伴2026：互為主體、互利共好、底蘊再創計畫協同主持人2,,,,,,,V,
6,宋立文,副教授,建築系,相伴2026：互為主體、互利共好、底蘊再創計畫協同主持人3,,,,,,,V,
7,盧紀邦,兼任助理教授,建築學系,相伴2026：互為主體、互利共好、底蘊再創計畫協同主持人4,,,,,,,V,
8,鄭淑惠,助理教授,心理健康與諮商輔導組,相伴2026：互為主體、互利共好、底蘊再創計畫協同主持人5,,,,,,,V,
9,陳正哲,副教授,建築系,相伴2026：互為主體、互利共好、底蘊再創計畫協同主持人6,,,,,,,V,
1,蔣鎮宇,特聘教授,生命科學系,台南400年:從倒風內海到東原山林溪北傳統特色產業的升級之路:復振與新生計畫主持人,"
臺南市、後壁區、璞育文教學會示範田
臺南市、後壁區、墨林文物館藍染熊手作坊
臺南市、六甲區、林鳳營社區發展協會禾作社
臺南市、白河區、白河區昇安社區發展協會
臺南市、東山區、南方嵾林咖啡
臺南市、東山區、東山窯鄉友善農作推廣工作室
臺南市、東山區、你我他農場
臺南市、東山區、番社蔬果聯盟
臺南市、學甲區、瑞香農產
臺南市、學甲區、福豐昕昕農場
臺南市、麻豆區、水崛頭倒風內海故事鄉
臺南市、北門區、台灣烏腳病醫療紀念館
臺南市、北門區、南鯤鯓代天府
臺南市、七股區、特有生物研究保育中心濕地試驗站
臺南市、七股區、七股龍海號生態之旅",民國112-113,在地關懷,"消除貧窮、
零飢餓、
優質教育、
產業、創新和基礎設施、
負責任的消費及生產
氣候行動",,,V,
2,王雲哲,教授,土木工程學系,台南400年:從倒風內海到東原山林溪北傳統特色產業的升級之路:復振與新生計畫共同主持人1,,,,,,,V,
3,陳志昌,研究專家,文學院,台南400年:從倒風內海到東原山林溪北傳統特色產業的升級之路:復振與新生計畫共同主持人2,,,,,,,V,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1,張秀慈,副教授,都市計畫學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人,"臺南市、左鎮區、臺灣西南部惡地地形淺山區域、
臺南市、龍崎嶇、臺灣西南部惡地地形淺山區域、
高雄市；內門區、臺灣西南部惡地地形淺山山區、
高雄市、田寮區、台灣西南部惡地地形周圍淺山區、
臺南市、關廟區、臺灣西南部惡地地形周圍淺山山區高雄市；旗山區、臺灣西南部惡地地形周圍淺山區、
臺南市、新化區、臺灣西南部惡地地形周圍淺山區

",民國112-113,產業鏈結與經濟永續,"合宜工作與經濟成長、
產業、創新和基礎設施
永續城市及社區",,,V,
2,簡聖芬,副教授,建築學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫共同主持人1,,,,,,,V,
3,黃偉茹,副教授,都市計畫學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人共同主持人2,,,,,,,V,
4,杜怡萱,教授,建築學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人1,,,,,,,V,
5,陳文松,教授,歷史學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人2,,,,,,,V,
6,楊佳翰,副教授暨所長,創意產業設計研究所,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人3,,,,,,,V,
7,簡瑋麒,助理教授,工業設計學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人4,,,,,,,V,
8,林蕙玟,副教授,創意產業設計研究所,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人5,,,,,,,V,
9,李亞夫,教授,生命科學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人6,,,,,,,V,
10,楊中平,副教授,資訊工程學系,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人7,,,,,,,V,
11,黃兆立,副教授,熱帶植物與微生物科學研究所,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人8,,,,,,,V,
12,馬薇茜,助理教授,藝術研究所,惡地協作2.0:H.E.A.R.T.串起共學、共做、共感的淺山心生活計畫主持人協同主持人9,,,,,,,V,
1,張珩,教授,建築系,長短樹下的微風-環境療癒場域之建構計畫主持人,臺南市、後壁區、頂長社區,民國112-113,永續環境,良好健康與福祉、產業、創新和基礎設施、永續城市及社區,,,V,
2,楊詩弘,助理教授,建築系,長短樹下的微風-環境療癒場域之建構計畫協同主持人1,,,,,,,V,
1,楊政達,特聘教授 / 主任,單位:心理學系 / 人文社會科學中心,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia)計畫主持人,"臺南市 , 北區 , 長勝里
臺南市 , 北區 , 仁愛里
臺南市 , 北區 , 重興社區
臺南市 , 中西區 , 溫陵社區
臺南市 , 六甲區 , 菁埔里",民國114-116,健康促進與食品安全," 零飢餓 、
良好健康與福祉、
永續城市及社區；",,,,V
2,林麗娟,教授,體育健康與休閒研究所,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫共同主持人1,,,,,,,,V
3,董旭英,教授/所長,教育研究所,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫共同主持人2,,,,,,,,V
4,林從一,院長,國家教育研究院,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人1,,,,,,,,V
5,劉立凡,教授,老年學研究所,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人2,,,,,,,,V
6,顏妙芬,教授,護理學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asiar計畫協同主持人3,,,,,,,,V
7,陳世明,副教授,建築學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人4,,,,,,,,V
8,吳玉成,副教授,建築學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人5,,,,,,,,V
9,宋立文,副教授,建築學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人6,,,,,,,,V
10,王毓正,副教授,法律學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人7,,,,,,,,V
11,鄭淑惠,助理教授,心理健康與諮商輔導組,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人8,,,,,,,,V
12,盧紀邦,兼任助理教授,建築學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人9,,,,,,,,V
13,顏世樺,兼任助理教授,建築學系,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人10,,,,,,,,V
14,蔡侑樺,副研究員,成大博物館,城鄉相伴健康永續生活、東亞連攜(U-R LOHAS EAST Asia計畫協同主持人11,,,,,,,,V
1,王雲哲,教授/系主任,土木工程學系教授,"曾文溪的美麗與哀愁： 從水文與人文歷史、特色產業、到人工智慧計畫主持人
","臺南市 , 後壁區 , 璞育文教學會示範田
臺南市 , 後壁區 , 墨林文物館藍染熊手作坊
臺南市 , 六甲區 , 林 鳳營社區發展協會禾作社
臺南市 , 東山區 , 南 方森林咖啡
臺南市 , 東山區 , 東山 窯鄉友善農作推廣工作室
臺南市 , 東山區 , 你我他農場
臺南市 , 東山區 , 番社蔬果聯盟
臺南市 , 學甲區 , 瑞香農產
臺南市 , 學甲區 , 福豐昕昕農場
臺南市 , 麻豆區 , 水 崛頭倒風內海故事館
臺南市 , 北門區 , 台 灣烏腳病醫療紀念館
臺南市 , 北門區 , 南 鯤鯓代天府
臺南市 , 七股區 , 特有生 物研究保育中心濕地試驗站
臺南市 , 七股區 , 七股龍海號生態之旅
其他性質場域：
縣市： 臺南市 ，鄉鎮市區： 六甲區 ，
場域名稱： 菁埔社區",民國114-116,在地關懷,"消除貧窮、
產業、創新和基礎設施、
氣候行動",,,,V
2,蔣鎮宇,特聘教授,生命科學系,曾文溪的美麗與哀愁： 從水文與人文歷史、特色產業、到人工智慧共同計畫主持人1,,,,,,,,V
3,陳志昌,研究專家,文學院,曾文溪的美麗與哀愁： 從水文與人文歷史、特色產業、到人工智慧共同計畫主持人2,,,,,,,,V
4,陳俊賢,"客座講座教授
(短期玉山學者)",土木工程學系,曾文溪的美麗與哀愁： 從水文與人文歷史、特色產業、到人工智慧協同計畫主持人1,,,,,,,,V
5,五條堀孝,教授(玉山學者),生命科學系-,曾文溪的美麗與哀愁： 從水文與人文歷史、特色產業、到人工智慧協同計畫主持人2,,,,,,,,V
1,張珩,教授,建築系,新港東的心感動—共築療癒生態藝術村主持人,"臺南市 , 後壁區 , 新東 里新東社區
臺南市 , 後壁區 , 長短樹 里頂長社區",民國114-116,環境永續,"良好健康與福祉、
永續城市及社區、
負責任的消費及生產",,,,V
2,楊詩弘,助理教授,建築系,新港東的心感動—共築療癒生態藝術村共同主持人,,,,,,,,V
3,邱靜如,教授,老年學研究所,新港東的心感動—共築療癒生態藝術村協同主持人1,,,,,,,,V
4,賴孟寬,副教授,企業管理學系,新港東的心感動—共築療癒生態藝術村協同主持人2,,,,,,,,V
5,李瑞花,副教授,熱帶植物與微生物科學研究所,新港東的心感動—共築療癒生態藝術村協同主持人3,,,,,,,,V
1,張秀慈,副教授,都市計劃學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈主持人","臺南市 , 左鎮區 , 臺灣西南部惡地地形淺山區域
臺南市 , 龍崎區 , 臺灣西南部惡地地形淺山區域
高雄市 , 田寮區 , 臺灣西南部惡地地形淺山區域
高雄市 , 內門區 , 臺灣西南部惡地地形淺山區域
臺南市 , 新化區 , 臺灣西南部惡地地形周圍淺山區域
臺南市 , 關廟區 , 臺灣西南部惡地地形周圍淺山區域
高雄市 , 旗山區 , 臺灣西南部惡地地形周圍淺山區域",民國114-116,產業鏈結與經濟永續,"合宜工作與經濟成長、
產業、
永續城市及社區",,,,V
2,簡聖芬,副教授,建築學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈共同主持人1",,,,,,,,V
3,黃偉茹,教授,都市計劃學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈共同主持人2",,,,,,,,V
4,李亞夫,教授,生命科學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人1",,,,,,,,V
5,陳文松,教授,歷史學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人2",,,,,,,,V
6,楊中平,副教授,資訊工程學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人3",,,,,,,,V
7,林蕙玟,副教授,創意產業設計研究所,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人4",,,,,,,,V
8,簡瑋麒,副教授,工業設計學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人5",,,,,,,,V
9,馬薇茜,副教授,藝術研究所,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人6",,,,,,,,V
10,杜怡萱,教授,建築學系,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人7",,,,,,,,V
11,楊佳翰,教授,創意產業設計研究所,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人8",,,,,,,,V
12,黃兆立,副教授,熱帶植物與微生物科學研究所,"惡地協作3.0 : G.R.E.A.T.建構區域韌性與綠色網絡的共融淺山生
活圈協同主持人9",,,,,,,,V
1,湯銘哲,特聘教授/主任,生理學研究所 / 國際傷口修復與再生中心,從診間到人間～泡泡龍族群的生命款待主持人,"高雄市 , 大社區 , 社團 法人臺灣泡泡龍病友協會",民國114-116,健康促進與食品安全,"消除貧窮、
良好健康與福祉、
優質教育",,,,V
2,李貽峻,助理教授,醫學系,從診間到人間～泡泡龍族群的生命款待共同主持人1,,,,,,,,V
3,許釗凱,副教授,皮膚科,從診間到人間～泡泡龍族群的生命款待協同主持人1,,,,,,,,V
4,翁士恆,副教授,心理與諮商學系,從診間到人間～泡泡龍族群的生命款待協同主持人2,,,,,,,,V
5,陳佳欣,助理研究員,博物館,從診間到人間～泡泡龍族群的生命款待協同主持人3,,,,,,,,V
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
